"STATISTIC Label","Graduation Year","Field of Study","NFQ Level","Nationality","UNIT","VALUE"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 6","Unknown","Number","0"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 6","Africa","Number","0"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 6","Central Asia","Number","0"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 6","South Asia","Number","0"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 6","South-East Asia","Number","0"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 6","East Asia","Number","0"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 6","Mid-East","Number","0"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 6","Australia and South Pacific","Number","0"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 6","Central and South America","Number","0"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 6","Europe excluding UK and Ireland","Number","0"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 6","North America","Number","0"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 7","All nationalities","Number","50"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 7","UK","Number","0"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 7","Ireland","Number","40"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 7","Unknown","Number","0"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 7","Africa","Number","0"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 7","Central Asia","Number","0"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 7","South Asia","Number","0"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 7","South-East Asia","Number","0"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 7","East Asia","Number","0"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 7","Mid-East","Number","0"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 7","Australia and South Pacific","Number","0"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 7","Central and South America","Number","0"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 7","Europe excluding UK and Ireland","Number","0"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 7","North America","Number","0"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 8","All nationalities","Number","1770"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 8","UK","Number","40"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 8","Ireland","Number","1610"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 8","Unknown","Number","0"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 8","Africa","Number","10"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 8","Central Asia","Number","0"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 8","South Asia","Number","0"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 8","South-East Asia","Number","0"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 8","East Asia","Number","30"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 8","Mid-East","Number","0"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 8","Australia and South Pacific","Number","0"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 8","Central and South America","Number","0"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 8","Europe excluding UK and Ireland","Number","60"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 8","North America","Number","10"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 9","All nationalities","Number","740"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 9","UK","Number","20"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 9","Ireland","Number","530"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 9","Unknown","Number","10"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 9","Africa","Number","10"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 9","Central Asia","Number","0"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 9","South Asia","Number","10"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 9","South-East Asia","Number","0"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 9","East Asia","Number","10"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 9","Mid-East","Number","0"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 9","Australia and South Pacific","Number","0"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 9","Central and South America","Number","10"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 9","Europe excluding UK and Ireland","Number","70"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 9","North America","Number","70"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 10","All nationalities","Number","40"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 10","UK","Number","0"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 10","Ireland","Number","40"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 10","Unknown","Number","0"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 10","Africa","Number","0"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 10","Central Asia","Number","0"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 10","South Asia","Number","0"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 10","South-East Asia","Number","0"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 10","East Asia","Number","0"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 10","Mid-East","Number","0"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 10","Australia and South Pacific","Number","0"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 10","Central and South America","Number","0"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 10","Europe excluding UK and Ireland","Number","0"
"Number of Graduates","2015","Social Sciences, Journalism and Information","NFQ Level 10","North America","Number","0"
"Number of Graduates","2015","Business, Administration and Law","All NFQ Levels","All nationalities","Number","8710"
"Number of Graduates","2015","Business, Administration and Law","All NFQ Levels","UK","Number","110"
"Number of Graduates","2015","Business, Administration and Law","All NFQ Levels","Ireland","Number","7130"
"Number of Graduates","2015","Business, Administration and Law","All NFQ Levels","Unknown","Number","20"
"Number of Graduates","2015","Business, Administration and Law","All NFQ Levels","Africa","Number","80"
"Number of Graduates","2015","Business, Administration and Law","All NFQ Levels","Central Asia","Number","0"
"Number of Graduates","2015","Business, Administration and Law","All NFQ Levels","South Asia","Number","130"
"Number of Graduates","2015","Business, Administration and Law","All NFQ Levels","South-East Asia","Number","100"
"Number of Graduates","2015","Business, Administration and Law","All NFQ Levels","East Asia","Number","320"
"Number of Graduates","2015","Business, Administration and Law","All NFQ Levels","Mid-East","Number","40"
"Number of Graduates","2015","Business, Administration and Law","All NFQ Levels","Australia and South Pacific","Number","0"
"Number of Graduates","2015","Business, Administration and Law","All NFQ Levels","Central and South America","Number","10"
"Number of Graduates","2015","Business, Administration and Law","All NFQ Levels","Europe excluding UK and Ireland","Number","710"
"Number of Graduates","2015","Business, Administration and Law","All NFQ Levels","North America","Number","70"
"Number of Graduates","2015","Business, Administration and Law","NFQ Level 6","All nationalities","Number","340"
"Number of Graduates","2015","Business, Administration and Law","NFQ Level 6","UK","Number","0"
"Number of Graduates","2015","Business, Administration and Law","NFQ Level 6","Ireland","Number","300"
"Number of Graduates","2015","Business, Administration and Law","NFQ Level 6","Unknown","Number","0"
"Number of Graduates","2015","Business, Administration and Law","NFQ Level 6","Africa","Number","10"
"Number of Graduates","2015","Business, Administration and Law","NFQ Level 6","Central Asia","Number","0"
"Number of Graduates","2015","Business, Administration and Law","NFQ Level 6","South Asia","Number","0"
"Number of Graduates","2015","Business, Administration and Law","NFQ Level 6","South-East Asia","Number","0"
"Number of Graduates","2015","Business, Administration and Law","NFQ Level 6","East Asia","Number","0"
"Number of Graduates","2015","Business, Administration and Law","NFQ Level 6","Mid-East","Number","0"
"Number of Graduates","2015","Business, Administration and Law","NFQ Level 6","Australia and South Pacific","Number","0"
"Number of Graduates","2015","Business, Administration and Law","NFQ Level 6","Central and South America","Number","0"
"Number of Graduates","2015","Business, Administration and Law","NFQ Level 6","Europe excluding UK and Ireland","Number","40"
"Number of Graduates","2015","Business, Administration and Law","NFQ Level 6","North America","Number","0"
"Number of Graduates","2015","Business, Administration and Law","NFQ Level 7","All nationalities","Number","830"
"Number of Graduates","2015","Business, Administration and Law","NFQ Level 7","UK","Number","10"
"Number of Graduates","2015","Business, Administration and Law","NFQ Level 7","Ireland","Number","610"
"Number of Graduates","2015","Business, Administration and Law","NFQ Level 7","Unknown","Number","0"
"Number of Graduates","2015","Business, Administration and Law","NFQ Level 7","Africa","Number","10"
"Number of Graduates","2015","Business, Administration and Law","NFQ Level 7","Central Asia","Number","0"
