"Statistic Label","CensusYear","Detailed Marital Status","County and City","Sex","Age Group","UNIT","VALUE"
"Population","2011","All marital status","South Dublin","Both sexes","65 - 69 years","Number","8436"
"Population","2011","All marital status","South Dublin","Both sexes","70 - 74 years","Number","6092"
"Population","2011","All marital status","South Dublin","Both sexes","75 - 79 years","Number","4200"
"Population","2011","All marital status","South Dublin","Both sexes","80 - 84 years","Number","2609"
"Population","2011","All marital status","South Dublin","Both sexes","85 years and over","Number","1716"
"Population","2011","All marital status","South Dublin","Male","All ages","Number","129544"
"Population","2011","All marital status","South Dublin","Male","Under 25 years","Number","48783"
"Population","2011","All marital status","South Dublin","Male","25 - 29 years","Number","10871"
"Population","2011","All marital status","South Dublin","Male","30 - 34 years","Number","12217"
"Population","2011","All marital status","South Dublin","Male","35 - 39 years","Number","10511"
"Population","2011","All marital status","South Dublin","Male","40 - 44 years","Number","8959"
"Population","2011","All marital status","South Dublin","Male","45 - 49 years","Number","7769"
"Population","2011","All marital status","South Dublin","Male","50 - 54 years","Number","7268"
"Population","2011","All marital status","South Dublin","Male","55 - 59 years","Number","6664"
"Population","2011","All marital status","South Dublin","Male","60 - 64 years","Number","6064"
"Population","2011","All marital status","South Dublin","Male","65 - 69 years","Number","4065"
"Population","2011","All marital status","South Dublin","Male","70 - 74 years","Number","2856"
"Population","2011","All marital status","South Dublin","Male","75 - 79 years","Number","1901"
"Population","2011","All marital status","South Dublin","Male","80 - 84 years","Number","1076"
"Population","2011","All marital status","South Dublin","Male","85 years and over","Number","540"
"Population","2011","All marital status","South Dublin","Female","All ages","Number","135661"
"Population","2011","All marital status","South Dublin","Female","Under 25 years","Number","47277"
"Population","2011","All marital status","South Dublin","Female","25 - 29 years","Number","12183"
"Population","2011","All marital status","South Dublin","Female","30 - 34 years","Number","12849"
"Population","2011","All marital status","South Dublin","Female","35 - 39 years","Number","10831"
"Population","2011","All marital status","South Dublin","Female","40 - 44 years","Number","9170"
"Population","2011","All marital status","South Dublin","Female","45 - 49 years","Number","8581"
"Population","2011","All marital status","South Dublin","Female","50 - 54 years","Number","8049"
"Population","2011","All marital status","South Dublin","Female","55 - 59 years","Number","7658"
"Population","2011","All marital status","South Dublin","Female","60 - 64 years","Number","6448"
"Population","2011","All marital status","South Dublin","Female","65 - 69 years","Number","4371"
"Population","2011","All marital status","South Dublin","Female","70 - 74 years","Number","3236"
"Population","2011","All marital status","South Dublin","Female","75 - 79 years","Number","2299"
"Population","2011","All marital status","South Dublin","Female","80 - 84 years","Number","1533"
"Population","2011","All marital status","South Dublin","Female","85 years and over","Number","1176"
"Population","2011","All marital status","Kildare","Both sexes","All ages","Number","210312"
"Population","2011","All marital status","Kildare","Both sexes","Under 25 years","Number","77832"
"Population","2011","All marital status","Kildare","Both sexes","25 - 29 years","Number","16244"
"Population","2011","All marital status","Kildare","Both sexes","30 - 34 years","Number","18850"
"Population","2011","All marital status","Kildare","Both sexes","35 - 39 years","Number","18798"
"Population","2011","All marital status","Kildare","Both sexes","40 - 44 years","Number","16564"
"Population","2011","All marital status","Kildare","Both sexes","45 - 49 years","Number","14289"
"Population","2011","All marital status","Kildare","Both sexes","50 - 54 years","Number","12073"
"Population","2011","All marital status","Kildare","Both sexes","55 - 59 years","Number","10322"
"Population","2011","All marital status","Kildare","Both sexes","60 - 64 years","Number","8684"
"Population","2011","All marital status","Kildare","Both sexes","65 - 69 years","Number","6336"
"Population","2011","All marital status","Kildare","Both sexes","70 - 74 years","Number","3987"
"Population","2011","All marital status","Kildare","Both sexes","75 - 79 years","Number","2770"
"Population","2011","All marital status","Kildare","Both sexes","80 - 84 years","Number","1870"
"Population","2011","All marital status","Kildare","Both sexes","85 years and over","Number","1693"
"Population","2011","All marital status","Kildare","Male","All ages","Number","104658"
"Population","2011","All marital status","Kildare","Male","Under 25 years","Number","39608"
"Population","2011","All marital status","Kildare","Male","25 - 29 years","Number","7668"
"Population","2011","All marital status","Kildare","Male","30 - 34 years","Number","9276"
"Population","2011","All marital status","Kildare","Male","35 - 39 years","Number","9309"
"Population","2011","All marital status","Kildare","Male","40 - 44 years","Number","8412"
"Population","2011","All marital status","Kildare","Male","45 - 49 years","Number","7121"
"Population","2011","All marital status","Kildare","Male","50 - 54 years","Number","6042"
"Population","2011","All marital status","Kildare","Male","55 - 59 years","Number","5138"
"Population","2011","All marital status","Kildare","Male","60 - 64 years","Number","4349"
"Population","2011","All marital status","Kildare","Male","65 - 69 years","Number","3267"
"Population","2011","All marital status","Kildare","Male","70 - 74 years","Number","1933"
"Population","2011","All marital status","Kildare","Male","75 - 79 years","Number","1267"
"Population","2011","All marital status","Kildare","Male","80 - 84 years","Number","767"
"Population","2011","All marital status","Kildare","Male","85 years and over","Number","501"
"Population","2011","All marital status","Kildare","Female","All ages","Number","105654"
"Population","2011","All marital status","Kildare","Female","Under 25 years","Number","38224"
"Population","2011","All marital status","Kildare","Female","25 - 29 years","Number","8576"
"Population","2011","All marital status","Kildare","Female","30 - 34 years","Number","9574"
"Population","2011","All marital status","Kildare","Female","35 - 39 years","Number","9489"
"Population","2011","All marital status","Kildare","Female","40 - 44 years","Number","8152"
"Population","2011","All marital status","Kildare","Female","45 - 49 years","Number","7168"
"Population","2011","All marital status","Kildare","Female","50 - 54 years","Number","6031"
"Population","2011","All marital status","Kildare","Female","55 - 59 years","Number","5184"
"Population","2011","All marital status","Kildare","Female","60 - 64 years","Number","4335"
"Population","2011","All marital status","Kildare","Female","65 - 69 years","Number","3069"
"Population","2011","All marital status","Kildare","Female","70 - 74 years","Number","2054"
"Population","2011","All marital status","Kildare","Female","75 - 79 years","Number","1503"
"Population","2011","All marital status","Kildare","Female","80 - 84 years","Number","1103"
"Population","2011","All marital status","Kildare","Female","85 years and over","Number","1192"
"Population","2011","All marital status","Kilkenny","Both sexes","All ages","Number","95419"
"Population","2011","All marital status","Kilkenny","Both sexes","Under 25 years","Number","32462"
"Population","2011","All marital status","Kilkenny","Both sexes","25 - 29 years","Number","6399"
"Population","2011","All marital status","Kilkenny","Both sexes","30 - 34 years","Number","7568"
"Population","2011","All marital status","Kilkenny","Both sexes","35 - 39 years","Number","7628"
"Population","2011","All marital status","Kilkenny","Both sexes","40 - 44 years","Number","6880"
"Population","2011","All marital status","Kilkenny","Both sexes","45 - 49 years","Number","6567"
"Population","2011","All marital status","Kilkenny","Both sexes","50 - 54 years","Number","6138"
"Population","2011","All marital status","Kilkenny","Both sexes","55 - 59 years","Number","5365"
"Population","2011","All marital status","Kilkenny","Both sexes","60 - 64 years","Number","4722"
"Population","2011","All marital status","Kilkenny","Both sexes","65 - 69 years","Number","3845"
"Population","2011","All marital status","Kilkenny","Both sexes","70 - 74 years","Number","2748"
"Population","2011","All marital status","Kilkenny","Both sexes","75 - 79 years","Number","2229"
"Population","2011","All marital status","Kilkenny","Both sexes","80 - 84 years","Number","1518"
"Population","2011","All marital status","Kilkenny","Both sexes","85 years and over","Number","1350"
"Population","2011","All marital status","Kilkenny","Male","All ages","Number","47788"
"Population","2011","All marital status","Kilkenny","Male","Under 25 years","Number","16629"
"Population","2011","All marital status","Kilkenny","Male","25 - 29 years","Number","3049"
"Population","2011","All marital status","Kilkenny","Male","30 - 34 years","Number","3779"
"Population","2011","All marital status","Kilkenny","Male","35 - 39 years","Number","3850"
"Population","2011","All marital status","Kilkenny","Male","40 - 44 years","Number","3445"
"Population","2011","All marital status","Kilkenny","Male","45 - 49 years","Number","3278"
"Population","2011","All marital status","Kilkenny","Male","50 - 54 years","Number","3128"
"Population","2011","All marital status","Kilkenny","Male","55 - 59 years","Number","2736"
"Population","2011","All marital status","Kilkenny","Male","60 - 64 years","Number","2472"
"Population","2011","All marital status","Kilkenny","Male","65 - 69 years","Number","1927"
"Population","2011","All marital status","Kilkenny","Male","70 - 74 years","Number","1352"
"Population","2011","All marital status","Kilkenny","Male","75 - 79 years","Number","1031"
"Population","2011","All marital status","Kilkenny","Male","80 - 84 years","Number","657"
"Population","2011","All marital status","Kilkenny","Male","85 years and over","Number","455"
"Population","2011","All marital status","Kilkenny","Female","All ages","Number","47631"
"Population","2011","All marital status","Kilkenny","Female","Under 25 years","Number","15833"
"Population","2011","All marital status","Kilkenny","Female","25 - 29 years","Number","3350"
"Population","2011","All marital status","Kilkenny","Female","30 - 34 years","Number","3789"
"Population","2011","All marital status","Kilkenny","Female","35 - 39 years","Number","3778"
"Population","2011","All marital status","Kilkenny","Female","40 - 44 years","Number","3435"
"Population","2011","All marital status","Kilkenny","Female","45 - 49 years","Number","3289"
"Population","2011","All marital status","Kilkenny","Female","50 - 54 years","Number","3010"
"Population","2011","All marital status","Kilkenny","Female","55 - 59 years","Number","2629"
"Population","2011","All marital status","Kilkenny","Female","60 - 64 years","Number","2250"
"Population","2011","All marital status","Kilkenny","Female","65 - 69 years","Number","1918"
"Population","2011","All marital status","Kilkenny","Female","70 - 74 years","Number","1396"
"Population","2011","All marital status","Kilkenny","Female","75 - 79 years","Number","1198"
"Population","2011","All marital status","Kilkenny","Female","80 - 84 years","Number","861"
"Population","2011","All marital status","Kilkenny","Female","85 years and over","Number","895"
"Population","2011","All marital status","Laois","Both sexes","All ages","Number","80559"
"Population","2011","All marital status","Laois","Both sexes","Under 25 years","Number","29287"
"Population","2011","All marital status","Laois","Both sexes","25 - 29 years","Number","6315"
"Population","2011","All marital status","Laois","Both sexes","30 - 34 years","Number","7094"
"Population","2011","All marital status","Laois","Both sexes","35 - 39 years","Number","6570"
"Population","2011","All marital status","Laois","Both sexes","40 - 44 years","Number","6057"
"Population","2011","All marital status","Laois","Both sexes","45 - 49 years","Number","5200"
"Population","2011","All marital status","Laois","Both sexes","50 - 54 years","Number","4628"
"Population","2011","All marital status","Laois","Both sexes","55 - 59 years","Number","3975"
"Population","2011","All marital status","Laois","Both sexes","60 - 64 years","Number","3333"
