"Statistic Label","Sex","Socio Economic Group","Nationality","CensusYear","UNIT","VALUE"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Dutch","2016","Number","523"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Polish","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Polish","2016","Number","9273"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Portuguese","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Portuguese","2016","Number","212"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Romanian","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Romanian","2016","Number","3157"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Slovakian","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Slovakian","2016","Number","411"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Spanish","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Spanish","2016","Number","1051"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Swedish","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Swedish","2016","Number","279"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Other European","2011","Number","9937"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Other European","2016","Number","6422"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Algerian","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Algerian","2016","Number","747"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Congolese","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Congolese","2016","Number","213"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Egyptian","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Egyptian","2016","Number","701"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Libyan","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Libyan","2016","Number","470"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Nigerian","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Nigerian","2016","Number","6995"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-South African","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-South African","2016","Number","1916"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Sudanese","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Sudanese","2016","Number","700"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Zimbabwean","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Zimbabwean","2016","Number","308"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Other African","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Other African","2016","Number","1978"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Chinese","2011","Number","0"
